# A

gehen	行く
gehören	〜の所有である
genießen	〜を楽しむ
geschehen	起こる
gewinnen	〜に勝つ
glauben	〜と思う
gratulieren	おめでとうと言う
grüßen	〜にあいさつする

# H

haben	持つ
halten	保つ;思う
heiraten	結婚する	Wollt ihr eigentlich [heiraten]?
heißen	〜という名前である; 〜を意味する
helfen	助ける	Kann ich Ihnen [helfen]?
herauskommen	売り出される
herausziehen	〜を引き抜く
hereinkommen	中に入れる
herunterholen	〜を下ろす
hingehen	そこに行く
hören	(〜を)聞く

# I

installieren	〜をインストールする
interessieren sich	興味を持つ
irren sich	思い違いをする

# K

kapieren	理解する	Jetzt habe ich das [kapiert].
kaputtgehen	だめになる
kaufen	〜を買う
kennen	〜を知っている
kennenlernen	〜と知り合う
klappen	うまくいく
klemmen	開かない
klingen	〜のように聞こえる
knurren	ぐうぐう鳴る
kochen	料理する
kommen	来る
können	〜できる
konvertieren	〜を変換する
kopieren	コピーする
kosten	費用がかかる
kühlen	〜を冷やす
kündigen	辞職する

# L

langweilen sich	退屈する
lassen	〜させる
laufen	進む
leben	生活する
legen	横たえる; 寝かせる
leidtun	〜にとってすまないと思う
leihen	貸す; 借りる
leisten	〜をできる
leiten	〜を統率する
lernen	〜を学ぶ
liegen	横になっている; ある
loben	〜をほめる
lohnen sich	かいがある
löschen	〜を消す
lösen	〜を買う; 解く
losfahren	出発する
losgehen	出発する
loswerden	〜を払いのける

# M

machen	〜をする
mahlen	粉などをひく
mailen	〜に...をEメールで送る
meinen	考える; 意味する
melden	連絡する
mitbringen	持って行く
mitfahren	同乗する
mitkommen	一緒に行く
mögen	〜を好む

# N

nachdenken	熟考する
nassspritzen	〜をしぶきで濡らす
nehmen	〜をもらう; 取る
nerven	〜の神経を苛立たせる

# O

öffnen	〜を開く

# P

packen	荷物を詰める
parken	駐車する
passen	合う
passieren	(〜に)起こる
planen	計画する
probieren	〜を試す

# R

rauchen	タバコを吸う
rechnen	〜を予想する
regen	動かす; 感情などを引き起こす
regnen	雨が降る
reichen	〜に...を手渡す
reisen	旅行する
reservieren	予約する
richten	〜へ向ける; 方向を合わせる
ruhen	休む

# S

sagen	言う
schaffen	成し遂げる
schätzen	〜を見積もる
schauen	〜を見る
scheinen	〜のように見える
schenken	〜に...を贈る
schicken	〜に...を送る
schiefgehen	だめになる
schlafen	眠る
schlagen	殴る
schließen	〜を閉める	Das Museum soll nächstes Jahr geschlossen werden.
schmecken	味がする
schneien	雪が降る
schreiben	書く
schulden	〜に...の借りがある
schwarzsehen	悲観的にとらえる
schwollen	腫れる
sehen	見る; 会う
sitzen	座る
sprechen	〜と話す
starten	離陸する
stattfinden	開催される
stecken	突っ込む;差し込む
stehen	立っている; (書いて)ある; 似合う
steigen	上がる; 下がる	Das Flugzeug [stieg] bis auf 5000m.
stellen	〜を立てる; する
stimmen	正しい; 本当である
stören	〜の邪魔をする
studieren	大学で勉強する
suchen	〜を探す

# T

teilnehmen	参加する
telefonieren	電話する
trainieren	トレーニングをする
trauern	悼む
trinken	飲む
tun	〜をする

# U

übergeben sich	吐く	Musst du dich [übergeben]?
überlassen	〜に...を任せる	Das [überlasse] ich lieber dir.
überlegen	よく考える	Kann ich mir das noch einmal [überlegen]?
übernachten	宿泊する	Wegen des Streiks mussten wir auf dem Flughafen [übernachten].
umbuchen	予約変更する
umsteigen	乗り換える
umziehen	引っ越す
unterbrechen	〜を中断する


# V

verbinden	つなぐ
verderben	〜を悪くする
vergehen	経過する
vergessen	〜を忘れる
verkraften	〜を乗り越える
verleihen	〜を貸す
vermeiden	〜を避ける
vermuten	〜と推測する
verpassen	〜を逃す
versicken	〜を発送する; 派遣する
verschieben	〜を延期する
versprechen	〜に...を約束する
verstauchen	〜をくじく
verstehen	〜を理解する
versuchen	〜を試みる
vertragen sich	仲良くする
verwechseln	〜を見間違う
vorbeifahren	通り過ごす
vorhaben	予定している
vorkommen	〜のように思われる
vornehmen	決心する
vorschlagen	(〜を)提案する
vorstellen	紹介する; 想像する


# W

wählen	ダイヤルする
wandern	ハイキングをする
warten	待つ
wechseln	〜を取り替える
wegnehmen	片付ける;どける
wehtun	痛む
weiterfahren	先に進む
weitergehen	先に進む	Das kann nicht so weitergehen.
werden	〜になる
wiedersprechen	〜に反論する
wissen	知っている
wohnen	住む
wollen	〜を望む
wuchen	繁茂する;増殖する
wünschen sich	〜がほしい

# Z

zahlen	支払う	Heute [zahle] ich.
zeigen	見せる	[Zeig] doch Mal.
zeugen	証言する	Seine Arbeit [zeugt] von großem Fleiß.
ziehen	引っ張る
zubereiten	調理する	Natto ist doch lecker, du muss es nur richtig [zubereiten].
zufallen	閉まる	Mir fallen schon die Augen zu.
zuhören	よく聞く
zurückgehen	帰る
zurückkommen	戻って来る
zurückrufen	電話をかけ直す
zutrauen	〜に...できると信じる
